style,college
background-color: #461660; color: white; border-bottom: 4px solid #EEB211;,Albany
background-color: #005A43; color: white; border-bottom: 4px solid #B1B3B3;,Binghamton
background-color: #C02427; color: white; border-bottom: 4px solid #000000;,Hartford
background-color: #003263; color: white; border-bottom: 4px solid #B0D7FF;,Maine
background-color: #041E42; color: white; border-bottom: 4px solid #BBBCBC;,New Hampshire
background-color: #990000; color: white; border-bottom: 4px solid #16243E;,Stony Brook
background-color: #003DA5; color: white; border-bottom: 4px solid #C8102E;,Umass Lowell
background-color: #B18906; color: white; border-bottom: 4px solid #FFC20E;,UMBC
background-color: #154734; color: white; border-bottom: 4px solid #FFC72C;,Vermont
background-color: #003831; border-bottom: 4px solid #ffe395;,Cal Poly
background-color: #00274c; border-bottom: 4px solid #dc8218;,Cal State Fullerton
background-color: #ce1126; border-bottom: 4px solid #d1cec6;,CSUN
background-color: #154734; border-bottom: 4px solid #CCCCCC;,Hawaii
background-color: #000000; border-bottom: 4px solid #FFC72A;,Long Beach State
background-color: #002855; border-bottom: 4px solid #b3a369;,UC Davis
background-color: #0c2340; border-bottom: 4px solid #ffc72c;,UC Irvine
background-color: #2d6cc0; border-bottom: 4px solid #f1ab00;,UC Riverside
background-color: #003660; border-bottom: 4px solid #FEBC11;,UC Santa Barbara
background-color: #BA9B37; border-bottom: 4px solid #FFC904;,Central Florida Knights
background-color: #e00122; border-bottom: 4px solid #000;,Cincinnati
background-color: #000e2f; border-bottom: 4px solid #e4002b;,Connecticut Huskies
background-color: #592a8a; border-bottom: 4px solid #FDC82F;,East Carolina
background-color: #c8102e; border-bottom: 4px solid #C8102E;,Houston
background-color: #003087; border-bottom: 4px solid #898D8D;,Memphis
background-color: #00205b; border-bottom: 4px solid #C5B783;,Navy
background-color: #0033a0; border-bottom: 4px solid #C8102E;,SMU Mustangs
background-color: #006747; border-bottom: 4px solid #CFC493;,South Florida
background-color: #9d2235; border-bottom: 4px solid #9D2235;,Temple
background-color: #006747; border-bottom: 4px solid #006747;,Tulane
background-color: #002d72; border-bottom: 4px solid #c8102e;,Tulsa
background-color: #000; border-bottom: 4px solid #ffcd00;,Wichita State
background-color: #13294B; color: white; border-bottom: 4px solid #e84a27;,Illinois
