cm,1 SD
45,2.7
45.5,2.8
46,2.9
46.5,3
47,3
47.5,3.1
48,3.2
48.5,3.3
49,3.4
49.5,3.5
50,3.6
50.5,3.8
51,3.9
51.5,4
52,4.1
52.5,4.2
53,4.4
53.5,4.5
54,4.7
54.5,4.8
55,5
55.5,5.1
56,5.3
56.5,5.4
57,5.6
57.5,5.7
58,5.9
58.5,6.1
59,6.2
59.5,6.4
cm,1 SD
60,6.5
60.5,6.7
61,6.8
61.5,7
62,7.1
62.5,7.2
63,7.4
63.5,7.5
64,7.6
64.5,7.8
65,7.9
65.5,8
66,8.2
66.5,8.3
67,8.4
67.5,8.5
68,8.7
68.5,8.8
69,8.9
69.5,9
70,9.2
70.5,9.3
71,9.4
71.5,9.5
72,9.6
72.5,9.8
73,9.9
73.5,10
74,10.1
74.5,10.2
75,10.3
cm,1 SD
75.5,10.4
76,10.6
76.5,10.7
77,10.8
77.5,10.9
78,11
78.5,11.1
79,11.2
79.5,11.3
80,11.4
80.5,11.5
81,11.6
81.5,11.7
82,11.8
82.5,11.9
83,12
83.5,12.1
84,12.2
84.5,12.4
85,12.5
85.5,12.6
86,12.8
86.5,12.9
87,13
87.5,13.2
88,13.3
88.5,13.4
89,13.5
89.5,13.7
90,13.8
90.5,13.9
cm,1 SD
91,14.1
91.5,14.2
92,14.3
92.5,14.4
93,14.6
93.5,14.7
94,14.8
94.5,14.9
95,15.1
95.5,15.2
96,15.3
96.5,15.5
97,15.6
97.5,15.7
98,15.9
98.5,16
99,16.2
99.5,16.3
100,16.5
100.5,16.6
101,16.8
101.5,16.9
102,17.1
102.5,17.3
103,17.4
103.5,17.6
104,17.8
104.5,17.9
105,18.1
105.5,18.3
106,18.5
cm,1 SD
106.5,18.6
107,18.8
107.5,19
108,19.2
108.5,19.4
109,19.6
109.5,19.8
110,20
