cm,-2 SD
45,2.1
45.5,2.1
46,2.2
46.5,2.3
47,2.4
47.5,2.4
48,2.5
48.5,2.6
49,2.6
49.5,2.7
50,2.8
50.5,2.9
51,3
51.5,3.1
52,3.2
52.5,3.3
53,3.4
53.5,3.5
54,3.6
54.5,3.7
55,3.8
55.5,3.9
56,4
56.5,4.1
57,4.3
57.5,4.4
58,4.5
58.5,4.6
59,4.7
59.5,4.8
cm,-2 SD
60,4.9
60.5,5
61,5.1
61.5,5.2
62,5.3
62.5,5.4
63,5.5
63.5,5.6
64,5.7
64.5,5.8
65,5.9
65.5,6
66,6.1
66.5,6.2
67,6.3
67.5,6.4
68,6.5
68.5,6.6
69,6.7
69.5,6.8
70,6.9
70.5,6.9
71,7
71.5,7.1
72,7.2
72.5,7.3
73,7.4
73.5,7.4
74,7.5
74.5,7.6
75,7.7
cm,-2 SD
75.5,7.8
76,7.8
76.5,7.9
77,8
77.5,8.1
78,8.2
78.5,8.2
79,8.3
79.5,8.4
80,8.5
80.5,8.6
81,8.7
81.5,8.8
82,8.8
82.5,8.9
83,9
83.5,9.1
84,9.2
84.5,9.3
85,9.4
85.5,9.5
86,9.7
86.5,9.8
87,9.9
87.5,10
88,10.1
88.5,10.2
89,10.3
89.5,10.4
90,10.5
90.5,10.6
cm,-2 SD
91,10.7
91.5,10.8
92,10.9
92.5,11
93,11.1
93.5,11.2
94,11.3
94.5,11.4
95,11.5
95.5,11.6
96,11.7
96.5,11.8
97,12
97.5,12.1
98,12.2
98.5,12.3
99,12.4
99.5,12.5
100,12.6
100.5,12.7
101,12.8
101.5,13
102,13.1
102.5,13.2
103,13.3
103.5,13.5
104,13.6
104.5,13.7
105,13.8
105.5,14
106,14.1
cm,-2 SD
106.5,14.3
107,14.4
107.5,14.5
108,14.7
108.5,14.8
109,15
109.5,15.1
110,15.3
