cm,2 SD
45,3
45.5,3.1
46,3.2
46.5,3.3
47,3.4
47.5,3.5
48,3.6
48.5,3.7
49,3.8
49.5,3.9
50,4
50.5,4.2
51,4.3
51.5,4.4
52,4.6
52.5,4.7
53,4.9
53.5,5
54,5.2
54.5,5.3
55,5.5
55.5,5.7
56,5.8
56.5,6
57,6.1
57.5,6.3
58,6.5
58.5,6.6
59,6.8
59.5,6.9
cm,2 SD
60,7.1
60.5,7.3
61,7.4
61.5,7.6
62,7.7
62.5,7.8
63,8
63.5,8.1
64,8.3
64.5,8.4
65,8.6
65.5,8.7
66,8.8
66.5,9
67,9.1
67.5,9.2
68,9.4
68.5,9.5
69,9.6
69.5,9.7
70,9.9
70.5,10
71,10.1
71.5,10.2
72,10.3
72.5,10.5
73,10.6
73.5,10.7
74,10.8
74.5,10.9
75,11
cm,2 SD
75.5,11.1
76,11.2
76.5,11.4
77,11.5
77.5,11.6
78,11.7
78.5,11.8
79,11.9
79.5,12
80,12.1
80.5,12.3
81,12.4
81.5,12.5
82,12.6
82.5,12.8
83,12.9
83.5,13.1
84,13.2
84.5,13.3
85,13.5
85.5,13.6
86,13.8
86.5,13.9
87,14.1
87.5,14.2
88,14.4
88.5,14.5
89,14.7
89.5,14.8
90,15
90.5,15.1
cm,2 SD
91,15.3
91.5,15.5
92,15.6
92.5,15.8
93,15.9
93.5,16.1
94,16.2
94.5,16.4
95,16.5
95.5,16.7
96,16.8
96.5,17
97,17.1
97.5,17.3
98,17.5
98.5,17.6
99,17.8
99.5,18
100,18.1
100.5,18.3
101,18.5
101.5,18.7
102,18.9
102.5,19
103,19.2
103.5,19.4
104,19.6
104.5,19.8
105,20
105.5,20.2
106,20.5
cm,2 SD
106.5,20.7
107,20.9
107.5,21.1
108,21.3
108.5,21.6
109,21.8
109.5,22
110,22.3
