cm,3rd
45,2.1
45.5,2.1
46,2.2
46.5,2.3
47,2.4
47.5,2.4
48,2.5
48.5,2.6
49,2.7
49.5,2.7
50,2.8
50.5,2.9
51,3
51.5,3.1
52,3.2
52.5,3.3
53,3.4
53.5,3.5
54,3.6
54.5,3.8
55,3.9
55.5,4
56,4.1
56.5,4.3
57,4.4
57.5,4.5
58,4.6
58.5,4.8
59,4.9
59.5,5
cm,3rd
60,5.1
60.5,5.3
61,5.4
61.5,5.5
62,5.6
62.5,5.7
63,5.8
63.5,5.9
64,6
64.5,6.1
65,6.3
65.5,6.4
66,6.5
66.5,6.6
67,6.7
67.5,6.8
68,6.9
68.5,7
69,7.1
69.5,7.1
70,7.2
70.5,7.3
71,7.4
71.5,7.5
72,7.6
72.5,7.7
73,7.8
73.5,7.9
74,8
74.5,8.1
75,8.2
cm,3rd
75.5,8.2
76,8.3
76.5,8.4
77,8.5
77.5,8.6
78,8.7
78.5,8.7
79,8.8
79.5,8.9
80,9
80.5,9.1
81,9.1
81.5,9.2
82,9.3
82.5,9.4
83,9.5
83.5,9.6
84,9.7
84.5,9.8
85,9.9
85.5,10
86,10.1
86.5,10.2
87,10.3
87.5,10.4
88,10.6
88.5,10.7
89,10.8
89.5,10.9
90,11
90.5,11.1
cm,3rd
91,11.2
91.5,11.3
92,11.4
92.5,11.5
93,11.6
93.5,11.7
94,11.8
94.5,11.9
95,12
95.5,12.1
96,12.2
96.5,12.3
97,12.4
97.5,12.5
98,12.6
98.5,12.7
99,12.8
99.5,12.9
100,13
100.5,13.2
101,13.3
101.5,13.4
102,13.5
102.5,13.6
103,13.8
103.5,13.9
104,14
104.5,14.1
105,14.2
105.5,14.4
106,14.5
cm,3rd
106.5,14.6
107,14.8
107.5,14.9
108,15
108.5,15.2
109,15.3
109.5,15.4
110,15.6
