cm,3rd,15th,Median,85th,97th
45.0,2.1,2.2,2.4,2.7,2.9
45.5,2.1,2.3,2.5,2.8,3.0
46.0,2.2,2.4,2.6,2.9,3.1
46.5,2.3,2.5,2.7,3.0,3.2
47.0,2.4,2.5,2.8,3.1,3.3
47.5,2.4,2.6,2.9,3.1,3.4
48.0,2.5,2.7,2.9,3.2,3.5
48.5,2.6,2.8,3.0,3.3,3.6
49.0,2.7,2.9,3.1,3.4,3.7
49.5,2.7,2.9,3.2,3.5,3.8
50.0,2.8,3.0,3.3,3.7,4.0
50.5,2.9,3.1,3.4,3.8,4.1
51.0,3.0,3.2,3.5,3.9,4.2
51.5,3.1,3.3,3.6,4.0,4.3
52.0,3.2,3.4,3.8,4.1,4.5
52.5,3.3,3.6,3.9,4.3,4.6
53.0,3.4,3.7,4.0,4.4,4.7
53.5,3.5,3.8,4.1,4.5,4.9
54.0,3.6,3.9,4.3,4.7,5.0
54.5,3.8,4.0,4.4,4.8,5.2
55.0,3.9,4.2,4.5,5.0,5.4
55.5,4.0,4.3,4.7,5.1,5.5
56.0,4.1,4.4,4.8,5.3,5.7
56.5,4.3,4.6,5.0,5.4,5.9
57.0,4.4,4.7,5.1,5.6,6.0
57.5,4.5,4.8,5.3,5.8,6.2
58.0,4.6,5.0,5.4,5.9,6.4
58.5,4.8,5.1,5.6,6.1,6.5
59.0,4.9,5.2,5.7,6.2,6.7
59.5,5.0,5.4,5.9,6.4,6.9
cm,3rd,15th,Median,85th,97th
60.0,5.1,5.5,6.0,6.5,7.0
60.5,5.3,5.6,6.1,6.7,7.2
61.0,5.4,5.8,6.3,6.8,7.4
61.5,5.5,5.9,6.4,7.0,7.5
62.0,5.6,6.0,6.5,7.1,7.7
62.5,5.7,6.1,6.7,7.3,7.8
63.0,5.8,6.2,6.8,7.4,8.0
63.5,5.9,6.3,6.9,7.5,8.1
64.0,6.0,6.5,7.0,7.7,8.2
64.5,6.1,6.6,7.1,7.8,8.4
65.0,6.3,6.7,7.3,7.9,8.5
65.5,6.4,6.8,7.4,8.1,8.7
66.0,6.5,6.9,7.5,8.2,8.8
66.5,6.6,7.0,7.6,8.3,8.9
67.0,6.7,7.1,7.7,8.4,9.1
67.5,6.8,7.2,7.9,8.6,9.2
68.0,6.9,7.3,8.0,8.7,9.3
68.5,7.0,7.4,8.1,8.8,9.5
69.0,7.1,7.5,8.2,8.9,9.6
69.5,7.1,7.6,8.3,9.1,9.7
70.0,7.2,7.7,8.4,9.2,9.9
70.5,7.3,7.8,8.5,9.3,10.0
71.0,7.4,8.0,8.6,9.4,10.1
71.5,7.5,8.1,8.8,9.6,10.3
72.0,7.6,8.2,8.9,9.7,10.4
72.5,7.7,8.3,9.0,9.8,10.5
73.0,7.8,8.4,9.1,9.9,10.7
73.5,7.9,8.4,9.2,10.0,10.8
74.0,8.0,8.5,9.3,10.1,10.9
74.5,8.1,8.6,9.4,10.3,11.0
75.0,8.2,8.7,9.5,10.4,11.2
cm,3rd,15th,Median,85th,97th
75.5,8.2,8.8,9.6,10.5,11.3
76.0,8.3,8.9,9.7,10.6,11.4
76.5,8.4,9.0,9.8,10.7,11.5
77.0,8.5,9.1,9.9,10.8,11.6
77.5,8.6,9.2,10.0,10.9,11.7
78.0,8.7,9.3,10.1,11.0,11.8
78.5,8.7,9.3,10.2,11.1,12.0
79.0,8.8,9.4,10.3,11.2,12.1
79.5,8.9,9.5,10.4,11.3,12.2
80.0,9.0,9.6,10.4,11.4,12.3
80.5,9.1,9.7,10.5,11.5,12.4
81.0,9.1,9.8,10.6,11.6,12.5
81.5,9.2,9.9,10.7,11.7,12.6
82.0,9.3,10.0,10.8,11.8,12.7
82.5,9.4,10.1,10.9,11.9,12.8
83.0,9.5,10.1,11.0,12.0,13.0
83.5,9.6,10.3,11.2,12.2,13.1
84.0,9.7,10.4,11.3,12.3,13.2
84.5,9.8,10.5,11.4,12.4,13.3
85.0,9.9,10.6,11.5,12.5,13.5
85.5,10.0,10.7,11.6,12.7,13.6
86.0,10.1,10.8,11.7,12.8,13.7
86.5,10.2,10.9,11.9,12.9,13.9
87.0,10.3,11.0,12.0,13.1,14.0
87.5,10.4,11.2,12.1,13.2,14.2
88.0,10.6,11.3,12.2,13.3,14.3
88.5,10.7,11.4,12.4,13.5,14.4
89.0,10.8,11.5,12.5,13.6,14.6
89.5,10.9,11.6,12.6,13.7,14.7
90.0,11.0,11.7,12.7,13.8,14.9
90.5,11.1,11.8,12.8,14.0,15.0
cm,3rd,15th,Median,85th,97th
91.0,11.2,11.9,13.0,14.1,15.1
