cm,97th
45,2.9
45.5,3
46,3.1
46.5,3.2
47,3.3
47.5,3.4
48,3.5
48.5,3.7
49,3.8
49.5,3.9
50,4
50.5,4.1
51,4.3
51.5,4.4
52,4.5
52.5,4.7
53,4.8
53.5,5
54,5.1
54.5,5.3
55,5.4
55.5,5.6
56,5.8
56.5,5.9
57,6.1
57.5,6.2
58,6.4
58.5,6.5
59,6.7
59.5,6.9
cm,97th
60,7
60.5,7.2
61,7.3
61.5,7.5
62,7.6
62.5,7.8
63,7.9
63.5,8
64,8.2
64.5,8.3
65,8.5
65.5,8.6
66,8.7
66.5,8.9
67,9
67.5,9.1
68,9.2
68.5,9.4
69,9.5
69.5,9.6
70,9.7
70.5,9.9
71,10
71.5,10.1
72,10.2
72.5,10.3
73,10.4
73.5,10.6
74,10.7
74.5,10.8
75,10.9
cm,97th
75.5,11
76,11.1
76.5,11.2
77,11.3
77.5,11.4
78,11.5
78.5,11.7
79,11.8
79.5,11.9
80,12
80.5,12.1
81,12.2
81.5,12.4
82,12.5
82.5,12.6
83,12.8
83.5,12.9
84,13.1
84.5,13.2
85,13.3
85.5,13.5
86,13.6
86.5,13.8
87,13.9
87.5,14.1
88,14.2
88.5,14.4
89,14.5
89.5,14.7
90,14.8
90.5,15
cm,97th
91,15.1
91.5,15.3
92,15.4
92.5,15.6
93,15.7
93.5,15.9
94,16
94.5,16.2
95,16.3
95.5,16.5
96,16.6
96.5,16.8
97,16.9
97.5,17.1
98,17.3
98.5,17.4
99,17.6
99.5,17.8
100,17.9
100.5,18.1
101,18.3
101.5,18.5
102,18.6
102.5,18.8
103,19
103.5,19.2
104,19.4
104.5,19.6
105,19.8
105.5,20
106,20.2
cm,97th
106.5,20.4
107,20.6
107.5,20.9
108,21.1
108.5,21.3
109,21.5
109.5,21.8
110,22
