cm,Median
45,2.5
45.5,2.5
46,2.6
46.5,2.7
47,2.8
47.5,2.9
48,3
48.5,3.1
49,3.2
49.5,3.3
50,3.4
50.5,3.5
51,3.6
51.5,3.7
52,3.8
52.5,3.9
53,4
53.5,4.2
54,4.3
54.5,4.4
55,4.5
55.5,4.7
56,4.8
56.5,5
57,5.1
57.5,5.2
58,5.4
58.5,5.5
59,5.6
59.5,5.7
cm,Median
60,5.9
60.5,6
61,6.1
61.5,6.3
62,6.4
62.5,6.5
63,6.6
63.5,6.7
64,6.9
64.5,7
65,7.1
65.5,7.2
66,7.3
66.5,7.4
67,7.5
67.5,7.6
68,7.7
68.5,7.9
69,8
69.5,8.1
70,8.2
70.5,8.3
71,8.4
71.5,8.5
72,8.6
72.5,8.7
73,8.8
73.5,8.9
74,9
74.5,9.1
75,9.1
cm,Median
75.5,9.2
76,9.3
76.5,9.4
77,9.5
77.5,9.6
78,9.7
78.5,9.8
79,9.9
79.5,10
80,10.1
80.5,10.2
81,10.3
81.5,10.4
82,10.5
82.5,10.6
83,10.7
83.5,10.9
84,11
84.5,11.1
85,11.2
85.5,11.3
86,11.5
86.5,11.6
87,11.7
87.5,11.8
88,12
88.5,12.1
89,12.2
89.5,12.3
90,12.5
90.5,12.6
cm,Median
91,12.7
91.5,12.8
92,13
92.5,13.1
93,13.2
93.5,13.3
94,13.5
94.5,13.6
95,13.7
95.5,13.8
96,14
96.5,14.1
97,14.2
97.5,14.4
98,14.5
98.5,14.6
99,14.8
99.5,14.9
100,15
100.5,15.2
101,15.3
101.5,15.5
102,15.6
102.5,15.8
103,15.9
103.5,16.1
104,16.2
104.5,16.4
105,16.5
105.5,16.7
106,16.9
cm,Median
106.5,17.1
107,17.2
107.5,17.4
108,17.6
108.5,17.8
109,18
109.5,18.1
110,18.3
