Time,Narration
00:00,Welcome to this Spoken Tutorial on Breast conditions in lactating mothers.
00:06,"In this tutorial, we will learn about- Breast engorgement and Mastitis."
00:13,Let us begin with Breast engorgement.
00:17,Engorgement occurs most commonly between 3 to 5 days after delivery.
00:23,It occurs in both breasts simultaneously.
00:28,Mother should not confuse breast engorgement with breast fullness.
00:33,"Thus, now we will discuss the difference between breast engorgement and full breasts."
00:40,"In engorgement, breast becomes firm, swollen and painfully full of milk."
00:46,It gives shiny appearance and shows dilated veins on the surface.
00:52,"Mother may suffer from fever that lasts for more than 24 hours and latching becomes hardfor the baby."
01:01,"Whereas, full breasts are normal."
01:04,Full breasts appear big but they do not give shiny appearance.
01:10,Full breasts are not painful and fever is absent during breast fullness.
01:17,"Now, let’s discuss the causes of breast engorgement in lactating mothers."
01:23,Breast engorgement can occur in the following conditions-
01:27,If mother has not fed the baby soon after delivery.
01:32,Mother is not feeding the baby frequently.
01:36,Baby has poorly latched on mother’s breast during breastfeeding and
01:42,Mother has stopped breastfeeding suddenly.
01:46,Now let’s discuss how engorgement can be treated.
01:51,First- Ask the mother to wash her hands with the clean water
01:55,"Then, bring the baby closer to the mother so she can see, smell and touch the baby."
02:03,"If baby is too fussy, mother can smell the baby’s towel."
02:08,"After that, mother should drink a glass of water."
02:12,"Then, keep wet warm cloth on the breast for 5 to 10 minutes or"
02:18,mother can also take a warm shower.
02:21,It will help the breast milk to come out.
02:24,"After that, health worker should tell the mother to relax as excess of stress will affect thelet-down reflex and"
02:33,milk will not come out.
02:36,"Now, either health worker or any family member should massage on the mother’s neck andupper back."
02:43,It will help the breast milk to come out.
02:46,"Since, nerve supply towards upper back and breast is same."
02:52,"Then, mother should start gently massaging her breast in circular motion."
02:57,Massaging will make her relax and will improve the let-down reflex.
03:03,All these things will help in releasing of Oxytocin.
03:07,It is known as Oxytocin reflex or let-down reflex.
03:12,Oxytocin is a hormone which helps a breast milk to come out.
03:17,"Then, mother should manually express some amount of milk to soften the areola."
03:23,It will help the baby to latch on the breast correctly.
03:27,"During expressing the breast milk, mother should apply pressure around the areola."
03:33,"After expressing, mother should guide the areola in the baby’s mouth, as it would bedifficult for a baby to self-attach."
03:42,Try to breastfeed on both sides.
03:46,"Between the feeds, mother should keep wet cold cloth on breasts for 5- 10 minutes. Or,"
03:53,mother can keep cold cabbage leaves on breasts.
03:58,She can store these cabbage leaves either in refrigerator or in earthen pot.
04:04,It helps in reducing the tenderness and edema in the breast.
04:08,Then mother should breastfeed frequently.
04:13,"Now, let’s learn how can we prevent breast engorgement."
04:17,"First, try to understand the hunger signals of a baby such as squirming,"
