Time,Narration
00:00,Welcome to the spoken tutorial on calcium rich vegetarian recipes.
00:07,"In this tutorial, we will learn about:"
00:10,Food sources of calcium.
00:13,Cooking techniques to enhance calcium absorption.
00:17,Preparation of calcium rich vegetarian recipes.
00:21,Calcium content of these recipes.
00:25,Calcium is the most abundant mineral in our body.
00:30,99% of the body’s calcium is found in bones and teeth.
00:36,The remaining 1% is present in the blood.
00:39,The role of calcium in our body has been explained in another tutorial.
00:45,Please visit our website for these tutorials.
00:49,Adequate intake of calcium through diet is necessary from an early age.
00:55,Dairy products are excellent sources of calcium.
00:59,"This includes milk,"
01:01,"curd,paneer (unsalted Indian cheese - Bracketed text is only for International languages),"
01:03,"cheeseand khoa (thickened whole milk – Bracketed text is only for International languages)."
01:06,"Calcium is also present in some nuts,"
01:09,"seeds,legumes"
01:11,and green leafy vegetables.
01:14,"Along with a calcium rich diet, calcium absorption by the body is also important."
01:21,"Calcium absorption can be enhanced using soaking, sprouting and fermentation."
01:29,"Even boiling, roasting and other cooking techniques will help."
01:35,"Note that in all the recipes shown in this tutorial, 1 cup is 200 milliliters."
01:42,The first recipe is sprouted finger millet dosa.
01:47,Ingredients required to prepare this recipe are:
01:50,1⁄4 cup or 30 grams of finger millet.
01:55,1⁄4 cup or 30 grams of split black gram.
01:59,1⁄2 teaspoon fenugreek seeds.
02:02,1⁄2 teaspoon roasted flax seed powder.
02:06,1 tablespoon curd.
02:08,Salt to taste.
02:10,1 teaspoon oil or butter.
02:14,Procedure:
"",Wash and soak finger millet overnight.
02:19,Strain out excess water using a strainer.
02:22,"Then, allow them to sprout."
02:25,It may take approximately 2 days for them to sprout.
02:29,"Once the finger millet sprouts, dry it in sunlight."
02:33,"If there isn't enough sunlight, you can even roast them on a pan without oil."
02:39,Grind it to make a fine powder.
02:41,"On the other hand, soak split black gram and fenugreek seeds for 3-4 hours."
02:48,Grind it by adding some water to make a smooth batter.
02:53,"Add finger millet powder, roasted flax seed powder and salt to the batter."
02:59,"Mix it well.Cover the batter and keep it overnight to ferment."
03:05,"Once the batter rises, add curd and little water to adjust the consistency."
03:12,Take a pan and heat oil or ghee.
03:15,Spread oil all over the pan using half an onion.
03:20,Drop a ladle of batter into the pan.
03:23,Spread batter in a circular motion on the pan.
03:27,Cook the dosa on both sides on a low flame.
03:30,Sprouted finger millet dosa is ready.
03:33,One serving of this recipe will give around 185 milligrams of calcium.
03:40,"You can have this dosa with buttermilk or sesame seed chutney powder (sauce or a drybase of spices/nuts/seeds/vegetables – Bracketed text is only for Internationallanguages)."
03:46,"Let us now see how to make sesame seed chutney powder (sauce or a dry base ofspices/nuts/seeds/vegetables – Bracketed text is only for International languages)."
03:50,"For this, you will need:"
03:52,2 tablespoons white sesame seeds.
03:55,1 tablespoon split Bengal gram.
03:58,1 dried red chilli.
04:00,2 small pieces of fresh coconut.
04:03,2-3 garlic pods.
04:05,1 lemon size tamarind.
04:08,Salt to taste.
04:10,"Roast sesame seeds, split bengal gram, red chilli, coconut and garlic in a pan."
04:18,Keep stirring it continuously to avoid the sesame seeds from getting burnt.
04:24,"Next, remove them from the pan and allow it to cool."
04:29,"After cooling, add tamarind and salt."
04:33,"Then, grind it using a mixer or mortar and pestle."
04:37,Sesame seed chutney powder is ready.
04:40,1⁄4 cup of this chutney powder gives around 131 milligrams of calcium.
04:47,You can have it two to three times a day with your meals.
04:51,"Instead of white sesame seeds, you can use other seeds as well."
04:56,"For example: black sesame seeds,"
04:59,"flax seeds,"
05:01,"poppy seedsor niger seeds."
05:04,Our third recipe is horse gram and amaranth leaves curry.
05:10,Ingredients required to make this recipe are:
05:13,1⁄4 cup horsegram.
05:16,50g or 1/4 bundle of amaranth leaves.
05:20,1⁄2 onion.
05:22,1⁄2 tomato.
05:24,You will also need these spices:
05:26,1 teaspoon cumin seeds.
05:28,1⁄2 teaspoon ginger garlic paste.
05:31,1⁄2 teaspoon turmeric powder.
05:34,1⁄2 teaspoon red chilli powder.
05:36,1⁄2 teaspoon coriander powder.
05:39,Salt to taste.
