Time,Narration
00:01,Welcome to the spoken tutorial on choline rich vegetarian recipes.
00:06,In this tutorial we will learn:
00:09,Importance of choline.
00:11,Preparation of some choline rich vegetarian recipes.
00:16,Choline helps in maintaining the cell structure
00:19,and functioning of the cells.
00:21,Its derivatives help in carrying nerve impulses.
00:26,These impulses can be from neuron to neuron
00:30,or from neuron to an organ.
00:33,Normal functioning of the liver also requires choline.
00:38,The importance of choline has been explained in another tutorial.
00:43,Please visit our website for this tutorial.
00:46,"Now, let us see the preparation of our first recipe, green gram sprouts idli."
00:53,"To make this recipe, you will need:"
00:56,1⁄4 cup green gram sprouts.
00:59,1 tablespoon split black gram.
01:02,1⁄4 cup grated carrot.
01:05,1 teaspoon fenugreek seeds.
01:08,1 teaspoon cumin seeds.
01:10,Salt to taste.
01:12,1 teaspoon oil.
01:14,"Procedure:We will first start with sprouting green gram."
01:19,Soak 2 tablespoons of green gram overnight or for 8 hours.
01:25,Wash and drain it in the morning.
01:28,Then tie it in a muslin cloth and keep it in a warm place to germinate.
01:34,In winter it takes more than a day to sprout.
01:38,Notice when the sprouts appear.
01:41,Then soak the split black gram and fenugreek seeds together overnight.
01:47,Drain them the next day.
01:49,Grind them along with green gram sprouts into a smooth batter.
01:54,For grinding you can use a stone grinder or a mixer.
01:59,Transfer the batter into a bowl.
02:01,Cover the bowl with a lid and leave it to ferment for 6 to 8 hours.
02:08,"Once the batter is fermented, add cumin seeds, salt and grated carrot"
02:13,and mix well.
02:15,"Next, grease the idli mould and pour the batter into it."
02:20,Steam it in a steamer for 10 to 12 minutes.
02:24,Green gram sprouts idli is ready.
02:28,4 idlis have approximately 302 milligrams of choline.
02:33,You can also use bengal gram sprouts to make this recipe.
02:38,Our next recipe is cauliflower pulao.
02:42,"To make this recipe, you will need:"
02:44,100 grams of washed grated cauliflower.
02:49,1⁄2 teaspoon coriander powder.
02:52,1 teaspoon roasted sunflower seeds.
02:55,1 teaspoon roasted sesame seeds.
02:58,2 green chillies.
03:00,1 teaspoon pepper powder.
