Time,Narration
00:01,Welcome to the Spoken Tutorial on Cross Cradle hold for breastfeeding.
00:07,"In this tutorial, we will learn about- choosing the correct breastfeeding hold for a motherand her baby,"
00:16,mother’s preparation before breastfeeding and
00:19,step-by-step procedure for Cross Cradle hold.
00:24,Let us begin.
00:25,"Across the world, mothers breastfeed their babies using various types of holds."
00:32,"The best breastfeeding hold for a mother and her baby is the one in which- both mother andbaby are comfortable for the entire duration of breastfeeding,"
00:43,the baby is able to attach deeply to the mother’s breast
00:48,and get sufficient milk.
00:51,Let us learn about one of the holds called Cross Cradle hold.
00:56,"Cross Cradle hold is the best hold to have-full control of baby’s body,breast supportand deep latching."
01:06,"Before feeding her baby, the mother must wash and dry her hands properly."
01:11,Then she should drink a glass of boiled and cooled water.
01:16,"Lactating mothers produce 750 to 850 milliliters of milk per day, on an average."
01:23,"Therefore, they need to increase their daily water intake."
01:28,"Next, let’s discuss the position of the mother."
01:33,Mother should sit on the floor or on the bed in cross legged position.
01:38,"Or, on a chair with her feet flat on the ground."
01:43,"If the chair is too high and her feet do not reach the floor then she can rest her feet flat on asmall stool or pillows kept on the floor."
01:54,"While sitting, she should ensure that - her back is straight so as to avoid back pain,"
02:02,her shoulders are relaxed and not elevated or curved.
02:07,"And, this relaxed position is maintained throughout the feeding session."
02:13,Mother should uncover the breast from which she wants to feed the baby.
02:19,She should ensure not to put pressure of her bra or blouse on the breast.
02:26,"After sitting comfortably, bring the baby to the mother."
02:31,"Mother should hold her baby's head with the hand opposite to the breast that she will feedfrom."
02:39,The baby’s legs should be tucked under the mother’s armpit of the same hand.
02:45,"The mother in this picture, will be feeding her baby from her right breast. Therefore, thebaby’s legs are tucked under her left armpit."
02:57,She is using the thumb and fingers of her left hand to hold the lower part of her baby’s head.
03:05,"If the mother wants additional support to lift the baby, she can keep a pillow under the babyon her lap."
03:15,"Remember, the mother should never bring the breast to the baby by bending her back."
03:21,This will make her uncomfortable and cause back pain.
03:26,She should always keep her back straight and elevate the baby to reach her breast.
03:33,"Next, let us see the correct position of mother’s thumb and fingers."
03:38,"Mother’s thumb should be behind one ear and rest of the fingers behind the other ear of thebaby."
03:45,She should not move her fingers or thumb from behind the ear to the baby’s neck.
03:51,Her wrist should rest between the baby’s shoulder blades.
03:56,She should not apply pressure on the back of the baby’s head with her hand.
04:04,This will keep the baby comfortable while feeding.
04:08,"Next, let us learn how to position baby’s body correctly."
