Time,Narration
00:01,Welcome to the spoken tutorial on folate rich non-vegetarian recipes.
00:07,"In this tutorial, we will learn about:"
00:10,Food sources rich in folate.
00:14,Preparation of a few non-vegetarian recipes.
00:19,First we will understand what is folate and its role in our body.
00:26,Folate is one of the important B vitamins.
00:31,It is required for various functions in the body.
00:35,Let us see a few examples.
00:38,Folate is essential for cell growth and repair.
00:43,It is also needed for a healthy pregnancy.
00:47,Folate helps in the prevention of neural tube defects in babies.
00:53,Neural tube defects are the birth defects of the brain and spinal cord.
00:59,Benefits of folate have been explained in detail in another tutorial.
01:06,Please visit our website for more details.
01:10,"Next, let us look at food sources rich in folate."
01:15,Beans and pulses are excellent sources.
01:20,Green leafy vegetables are also rich in folate.
01:24,"Among non-vegetarian foods, fish and sea foods are excellent sources."
01:31,"For example: pomfret,"
01:34,"bombay duck,salmon,"
01:36,"mackerel, etc."
01:39,"Prawns,crabs,"
01:41,"lobsters,clams and"
01:43,fish eggs are also included.
01:46,"Even eggs, chicken or mutton liver are good sources of folate."
01:53,Let us now begin with the preparation of the recipes.
01:58,The first recipe is stuffed egg omelette.
02:02,"To make this recipe, you will need:"
02:05,2 eggs.
02:07,Handful or 50 grams of spinach.
02:11,1⁄2 onion.
02:13,2 tablespoons of milk.
02:16,2 green chillies.
"",1⁄4 teaspoon black pepper powder.
02:21,1⁄2 teaspoon cumin seeds.
02:24,"Take salt according to your taste and 2 teaspoons of oil, ghee or butter."
02:31,"Procedure:Wash and chop the spinach leaves finely."
02:37,Heat oil in a pan and add cumin seeds.
02:40,"Once they crackle, add sliced onions and saute it."
02:46,"When the onions turn light pink, add green chillies and chopped spinach."
02:53,Sprinkle some salt on it.
02:55,Saute it for 1 to 2 minutes on medium flame
03:00,and then keep it aside.
03:03,"Meanwhile, crack the eggs in a bowl."
03:05,Add salt and black pepper powder.
03:09,"Next, add milk into it."
03:12,Beat the eggs with the help of a spoon or a fork.
03:16,Heat oil in a pan.
03:19,Pour the beaten eggs on the pan.
03:21,Cook for a minute and flip the omelette.
03:25,Place the prepared spinach mixture on one half of the omlette.
03:30,Fold the omelette on to the other half.
03:34,Stuffed egg omelette is ready.
03:37,This recipe will give around 290 micrograms of folate.
03:44,"Instead of spinach leaves, you can also use other green leafy vegetables."
03:50,"For example, amaranth leaves"
03:53,and agathi leaves.
03:55,The next recipe is fish fry.
03:59,To make this recipe you can use 150 grams of any fish.
04:05,I will be making this recipe with pomfret.
04:10,Other ingredients required are:
04:13,2 tablespoons of curd.
04:15,1 tablespoon of lemon juice.
04:18,1 teaspoon roasted bengal gram flour.
04:22,1 teaspoon ginger garlic paste.
04:25,1⁄2 teaspoon cumin seeds powder.
04:28,1⁄2 teaspoon red chilli powder.
04:31,"1⁄2 teaspoon garam masala powder (powder of mixed whole spices – Bracketed text isonly for International languages)."
04:35,You will also need salt to taste and
04:40,"1 tablespoon of oil, ghee or butter."
