Time,Narration
00:00,Welcome to the Spoken Tutorial on Hand expression of breastmilk.
00:06,"In this tutorial, we will learn- benefits of expressing breastmilk,"
00:12,how to express breastmilk by hand and
00:15,how often should a mother express breastmilk.
00:20,"Breastmilk expression is useful- to relieve breast engorgement,"
00:25,"to treat nipple soreness and dry skin on the dark area around the nipple,"
00:31,"to feed a baby if mother’s sore nipple is extremely painful while latching,"
00:38,"to increase or maintain mother’s breastmilk supply,"
00:42,"to keep breastmilk available for a baby when the mother goes out or to work,"
00:49,to help a baby to attach to a full breast by softening the dark area around the nipple;
00:57,"to check whether the baby has fed from one breast completely before offering the otherbreast,"
01:05,"to make nutritious complementary food for a baby by using breastmilk instead of water orcow’s milk,"
01:14,"and, to help in feeding milk to - premature babies,"
01:18,"sick babies,"
01:20,"babies with poor muscle tone,"
01:22,babies with cleft lip and/or palate and
01:27,babies who have difficulty in latching deeply to the breast.
01:32,"Now, let’s learn how to express breastmilk."
01:37,The most recommended way for a mother to express breastmilk is by using her hand.
01:44,Because this method causes less discomfort to the dark area around the nipple.
01:51,"Also, this method needs no appliance. So the mother can do it anywhere and at any time."
02:00,Expressing breastmilk by hand is a learned skill and will improve with practice.
02:08,It is easy to hand express breast milk when the breasts are soft.
02:13,"Therefore, a mother should learn this skill on the first or second day after delivery."
02:21,"Before expressing breastmilk, mother should have a steel or glass container ready to collectthe expressed milk."
02:29,"She should choose a cup, glass, jug or jar with a wide mouth."
02:36,She should wash the chosen container in soap and water.
02:41,"After that, she should either keep the container in boiling water or pour boiling water intothe container and leave it for a few minutes."
02:52,"Then, she should either air dry the container completely or wipe it dry with an unused cleancloth."
03:01,The container should never be dried with a used cloth such as a used kitchen cloth.
03:10,"After the clean container is dried completely, next step is to release breastmilk from thebreast."
03:17,"To help her milk flow, the mother should feel relaxed and emotionally connected to herbaby."
03:26,"Mother can try the following:She can sit quietly and privately or with a supportive friend."
03:34,"Some mothers can express easily in a group of other mothers who are also expressingbreastmilk."
03:41,She can hold her baby on her lap with skin-to-skin contact.
03:46,Or she can look at her baby or hear her baby’s voice.
03:53,Sometimes even looking at a photograph of her baby or smelling her baby’s clothing helps.
04:00,"She can take a warm soothing drink, but the drink should not be coffee, strong tea, alcoholor any stimulant."
04:12,She can also warm her breasts to help her milk flow.
