Time,Narration
00:00,Welcome to the spoken tutorial about the importance of vitamin B12.
00:06,"In this tutorial, we will learn about:"
00:09,Role of vitamin B12 in the body.
00:13,Causes and symptoms of its deficiency.
00:17,Food sources rich in vitamin B12.
00:21,Vitamin B12 is an important B vitamin and is naturally present in some foods.
00:29,It is water soluble and is also known as cobalamin.
00:35,Some amount of it can be produced by the good bacteria in our intestine.
00:41,Supplements of this vitamin are also available in the market.
00:47,Please consult your doctor before taking vitamin B12 supplements.
00:53,Vitamin B12 plays many important roles in our body.
00:58,It is required for proper red blood cell formation and for DNA synthesis.
01:06,This vitamin is particularly important for women of child bearing age.
01:13,Adequate vitamin B12 intake helps to prevent neural tube defects.
01:20,Neural tube defects are birth defects of the brain or spinal cord.
01:26,"To avoid this defect, along with vitamin B12, folate and choline are also needed."
01:35,Importance of folate and choline have been discussed in another tutorial.
01:42,"To know more, please visit our website."
01:46,Neural tube defects can result in physical disabilities in the child.
01:52,Muscle weakness of the legs and
01:55,paralysis may also happen.
01:58,Curved spine and loss of urinary bladder control are other symptoms.
02:06,Difficulty in eating and swallowing is also found to be common.
02:12,Another function of vitamin B12 is brain development in children.
02:20,It helps to improve many brain related functions.
02:25,"For example: attention span,"
02:28,"memory,planning  and"
02:30,problem solving.
02:32,Vitamin B12 also converts folate into its active form.
02:39,Folate is required in its active form to carry out various roles in the body.
02:46,"For example: growth,"
02:49,repair and
02:51,production of new cells in the body.
02:54,The absorption of B12 is also important for it to carry out all these functions.
03:03,I will briefly tell you the way it is absorbed in the body.
03:08,Vitamin B12 in the food is attached to a protein.
03:14,"For the body to absorb vitamin B12, two steps are essential."
03:21,"Firstly, the acid in the stomach separates vitamin B12 from that protein."
03:28,The stomach then secretes another protein called intrinsic factor.
03:34,B12 then attaches to the intrinsic factor
03:38,and gets absorbed in the intestine.
03:42,Inadequate absorption of vitamin B12 can result in it’s deficiency.
03:49,"For example, absorption is affected in people having pernicious anemia."
03:57,"In this condition, the body is unable to produce the intrinsic factor protein."
04:04,"Intrinsic factor is crucial for the absorption of vitamin B12, as explained earlier."
04:13,Inadequate absorption can be due to several other reasons also.
04:19,"For example, due to growth of bad bacteria or"
04:24,inflammation in the intestine.
04:28,Gastric bypass surgery also reduces absorption of vitamin B12.
04:35,Intestinal worms also affect the vitamin B12 levels.
04:41,These worms take up vitamin B12 from our blood
04:46,and cause its deficiency.
04:49,"Hence, regular deworming should be done after consulting a doctor."
04:54,Another reason for B12 deficiency is insufficient intake.
05:02,Older men and women above 65 years of age may have a very low intake.
05:10,Low intake is seen in vegetarians
05:13,and those who avoid milk and milk products.
05:17,Vitamin B12 deficiency may sometimes go undetected in vegetarians.
05:24,This is because their diets can be usually rich in folate.
05:30,Excessive folate may mask the early symptoms of B12 deficiency like anemia.
05:38,"As a result, nerve damage may progress."
05:42,This might get detected only when deficiency gets severe.
05:48,"Hence, adequate intake of both folate and vitamin B12 is necessary."
05:57,Recommended folate intake and its food sources is explained in another tutorial.
06:04,Let us now look at the symptoms of vitamin B12 deficiency.
06:12,Soreness of the tongue and mouth ulcers are common symptoms.
06:17,Inflammation of the stomach can also occur.
06:21,Anemia is another common symptom of B12 deficiency.
06:27,It is a condition in which there is a lack of enough healthy red blood cells.
06:35,Red blood cells carry adequate oxygen to the body's tissues.
06:41,"Pallor, fatigue and shortness of breath are indications of anemia."
06:48,"Reduced appetite,"
06:51,diarrhea
06:54,and jaundice is also seen.
06:58,Severe deficiency of B12 damages the myelin sheath.
07:04,Myelin sheath is a protective layer surrounding the nerves.
07:08,"Hence, the nervous system is affected."
