Time,Narration
00:00,Welcome to the spoken tutorial about the importance of breastfeeding.
00:06,In this tutorial we will learn about:
00:09,Importance of breastfeeding.
00:12,Benefits of breastfeeding for the babies and the mothers.
00:17,Breastfeeding is a vital process.
00:19,It starts from the birth of a child to its second birthday or beyond.
00:26,Breastfeeding gives a healthy start of life to the infant.
00:31,It decides the immediate and future health of a child and the mother.
00:38,The benefits of it lasts a lifetime for both of them.
00:43,Even malnourished mothers can breastfeed their baby.
00:49,"During pregnancy, breast size increases."
00:53,This is due to an increase in the number of milk producing tissues.
00:59,"However, the final size of the breasts do not affect the milk production amount."
01:07,Breastfeeding should be initiated within 1 hour of birth.
01:13,This increases the supply of breast milk.
01:17,"Therefore, exclusive breastfeeding in the first 6 months also increases."
01:24,It further helps in extending breastfeeding beyond 2 years.
01:31,The risk of neonatal deaths is low in babies who are breastfed within 1 hour.
01:39,Delayed breastfeeding can increase the risk of diseases in newborn babies.
01:47,"For example, diabetes, obesity and high blood pressure."
01:53,Early initiation of breastfeeding also ensures that the baby receives colostrum.
02:00,Colostrum is the first milk secreted by the mother after giving birth.
02:07,"For babies, it is a primary source of energy and nutrients."
02:13,It is important for them especially in the initial days of their lives.
02:20,"It has a large number of infection-fighting elements,"
02:24,Vitamin A and
02:26,good fat.
02:28,Numerous growth and protective factors are also there in colostrum.
02:35,Colostrum has the property which helps to remove the old feces faster.
02:42,Detailed benefits of colostrum are discussed in another tutorial.
02:48,Please check the website for more details.
02:52,Remember that exclusive breastfeeding should be done for the first 6 months.
02:59,Breast milk is a unique natural food which cannot be duplicated.
03:05,"When the baby completes 6 months, complementary food should be started."
03:12,It should be given along with breastfeeding.
03:16,Breastfeeding should be continued until 2 years or beyond.
03:22,There are many benefits of breastfeeding for the babies.
03:27,Nutrients and composition of breast milk are ideal for digestion by babies.
03:34,Through breast milk babies get antibodies.
03:38,Antibodies strengthen the immunity of the baby and reduces the risk of infections.
03:46,"Additionally, it prevents allergic reactions in babies."
03:52,Breast milk also contains growth factors.
03:56,They help in the development of the lining of the baby’s intestine.
04:02,It promotes the growth of good bacteria in the baby's intestine.
04:08,"Thus, it protects the babies against intestinal inflammation and infection."
04:16,"Similarly, it helps in the development of all other organs of the body."
04:22,Breastfeeding reduces the risk of diarrhea.
04:27,Other benefits are prevention of ear infections
04:31,and tooth decay.
04:33,Development of jaws and proper alignment of teeth are some other examples.
04:41,Risk of developing some diseases later in life also gets reduced.
04:48,"For example, diabetes, obesity, high blood pressure and blood cancer."
04:56,The risk of respiratory diseases like asthma and pneumonia also gets reduced.
05:04,Breastfeeding reduces the chances of sudden death in babies below 1 year of age.
05:14,The risk of developing atopic eczema is also less in breastfed babies.
05:22,"Eczema is a condition in which skin develops red, itchy and rough patches."
05:30,Breastfed babies are also less likely to be hospitalised for illness and infections.
05:39,Breastfed babies have better control over their appetite.
05:44,Breast milk contains appetite controlling hormones.
05:48,Such hormones help the babies listen to their body’s hunger and satiety signals.
05:57,This self regulation is disturbed in babies who are not breastfed.
06:03,"Eventually this can lead to overeating,"
06:07,"obesityand later diabetes."
06:11,Breastfeeding also has an effect on the brain.
06:15,The breast milk has components which help in brain development and maturation.
06:23,Breastfed children have a higher IQ and other skills.
06:28,Breast milk benefits premature babies even more.
06:34,Suckling at the breast improves the breathing in such babies.
06:40,These babies are at a risk of developing intestinal infection.
06:47,For example: Diarrhea and Necrotizing enterocolitis which is known as NEC.
06:56,NEC is a serious condition caused due to infection and damage to the intestine.
07:05,Breast milk protects premature babies from this infection.
