Time,Narration
00:01,"Welcome to the spoken tutorial on the importance of the 1st 1,000 days of life."
00:08,"In this tutorial, we will discuss the benefits of good nutrition during these days."
00:15,"Also, we will learn how to nourish a baby during these days."
00:21,Some key topics mentioned in this tutorial are explained in other tutorials.
00:27,Please visit our website for more details.
00:31,"Let us 1st understand what are the 1st 1,000 days of life."
00:37,"The 1st 1,000 days of life start on the 1st day of pregnancy."
00:43,They end on a child’s 2nd birthday.
00:48,"How well a child grows in these 1,000 days decides the future."
00:55,"If nourished well, the child can have a healthy future."
01:00,Good nutrition is necessary for a child’s early development.
01:05,"It plays a foundational role in enabling a child to grow, learn and succeed."
01:13,"Let’s discuss the role of nutrition at every stage in the 1st 1,000 days."
01:20,The 1st stage is pregnancy.
01:24,The brain of the fetus begins to grow from the 3rd week of pregnancy.
01:31,"Thereafter, it develops at a very high speed during the entire pregnancy."
01:38,Most of the mothers are not even aware of their pregnancy during this time.
01:45,"Therefore, all women in their reproductive age should consume nutritious food."
01:52,It is especially important for women planning a pregnancy.
01:58,"Healthy lifestyle, body fat and muscle percentage before pregnancy are crucial."
02:06,Adolescent and pre-pregnancy nutrition is explained in other tutorials.
02:13,Please visit our website for more details.
02:17,"During the 3rd trimester, the brain cells begin to be covered by a layer of fat."
02:25,It is called the myelin sheath.
02:29,This helps in passing the messages through the brain cells quickly.
02:35,"By 7th month, brain of a fetus takes on a form that resembles an adult’s brain."
02:43,"In the 7th, 8th and 9th months, there is a rapid growth of the fetus’s brain."
02:51,This rapid growth is not possible without one thing.
02:57,It is the nutrition that a baby gets from the mother’s diet.
03:03,Mother’s diet decides the baby’s body fat and muscle percentage.
03:10,It also decides the baby’s food preferences.
03:15,Mother should consume a variety of nutrient-dense local seasonal foods.
03:23,"Adequate amounts of iron, folate and calcium should be present in her body."
03:30,Consumption of iodine sources is necessary during pregnancy.
03:36,"She must eat adequate protein, good fats and essential nutrients."
03:44,Sources of these nutrients are given in other tutorials of the same series.
03:51,"Otherwise, vital brain development processes can be impaired."
03:56,The baby could also have birth defects and cognitive defects.
04:03,A well-known example is neural tube defects.
04:08,"Folate, B12 and choline are needed for early development of the brain and spine."
04:16,Mother must take sufficient folate during pre-pregnancy.
04:22,She should take it in the early weeks of pregnancy as well.
04:28,"Otherwise, the development of the neural tube can go wrong."
04:34,It leads to birth defects of the brain and spine.
04:39,The rate of a mother’s weight gain during pregnancy decides the baby’s health.
04:46,High weight gain in mothers who are not underweight is not good.
04:52,It increases the risk of childhood obesity.
04:57,Obesity during pregnancy puts women at risk for gestational diabetes.
05:05,This increases the baby’s risk to be obese
05:08,and diabetic later in life.
05:13,A mother’s lifestyle during pregnancy also plays an important role.
05:19,"Severe stress, depression or violence during pregnancy must be avoided."
05:27,Such negative experiences can deeply affect a developing fetus.
