Time,Narration
00:00,Welcome to the spoken tutorial on the Indian law to protect breastfeeding.
00:06,"In this tutorial, we will learn about:"
00:09,Infant milk substitutes or IMS.
00:13,The IMS Act.
00:16,Let us first understand what are infant milk substitutes?
00:23,Infant milk substitutes are also called IMS.
00:29,IMS are baby foods presented as a partial
00:33,or total replacement for breast milk.
00:39,They include all commercial baby foods for infants upto 2 years old.
00:48,"In this tutorial, we will refer to IMS as commercial baby foods or baby foods."
00:58,Why do people use commercial baby foods?
01:03,There are 5 major reasons for the popular use of commercial baby foods.
01:11,The first reason is the myth that compares commercial baby foods to breast milk.
01:20,It is believed that they are as good as breast milk.
01:26,They can substitute breastfeeding completely.
01:31,Some uninformed people may believe them to be better than breast milk.
01:40,This myth is popular because their harms are not known or seen easily.
01:48,People are not guided about their harmful effects properly.
01:54,"Also, the marketing techniques portray them to be equivalent to breastmilk."
02:02,Even many doctors or health care workers are not aware of their harmful effects.
02:10,They do not know the losses caused by not breastfeeding.
02:17,"Hence, commercial baby foods are not considered dangerous by most people."
02:25,There is a general social acceptance of commercial baby foods.
02:32,This applies to feeding bottles and artificial nipples as well.
02:39,No commercial baby food can be equivalent to breastfeeding.
02:46,They may imitate the common constituents of breast milk.
02:52,"Common constituents include proteins, calories or fats."
02:59,"However, they cannot have the numerous constituents of breast milk."
03:06,"Also, breast milk varies for each mother and her baby."
03:13,Commercial baby foods do not have this quality.
03:18,They are the same for all mothers and babies.
03:24,They also do not have the psycho-emotional benefits of breastfeeding.
03:31,They are very well known to cause undernutrition or obesity.
03:38,They also cause infectious and noninfectious diseases.
03:44,These diseases include cardiovascular problems
03:48,and allergies.
03:51,Their worst effect is that they make breastfeeding seem unimportant for babies.
03:59,They stop people from seeing that breastfeeding is free and the best.
04:08,The 2nd reason for using baby foods is that they seem like an easy shortcut.
04:16,Breastfeeding is a skill.
04:19,It takes time and effort to learn or assist the proper breastfeeding technique.
04:28,There could be problems while learning how to breastfeed.
04:34,Mother needs the family’s support to breastfeed at home.
04:40,She also needs society's support to breastfeed outside home or at work.
