Time,Narration
00:00,Welcome to the Spoken tutorial on Magnesium rich vegetarian recipes.
00:06,"In this tutorial, we will learn about:"
00:09,"Benefits of magnesium,"
00:11,Vegetarian sources of magnesium
00:13,and Magnesium rich vegetarian recipes.
00:18,Magnesium is a mineral which is an essential nutrient required by the body.
00:24,It is among the Type 2 nutrients which has been explained in an another tutorial.
00:31,Please visit our website for this tutorial.
00:35,Magnesium is required for healthy bones and teeth as well.
00:40,We also need magnesium for energy production
00:44,and DNA synthesis.
00:47,The importance of magnesium has been explained in another tutorial.
"",
00:52,Magnesium is present in
00:54,"beans,nuts,"
00:56,"seeds,leafy vegetables"
00:59,and grains.
01:01,Intake of magnesium and its absorption in the body both are equally important.
01:08,"Fermentation,roasting,"
01:10,"germinationand cooking improves the absorption."
01:15,Soaking beans before cooking also does the same.
01:20,"Now, let us see the preparation of our first recipe, sprouted moth beans cutlet."
01:27,"To prepare this recipe, you will need:"
"",
01:31,"1⁄4 cup sprouted moth beans,"
01:34,"1 cup washed and chopped spinach,"
01:37,"1 tablespoon Bengal gram flour,"
01:40,"4 to 5 cloves of garlic,"
01:43,"1 tsp lemon juice,"
01:45,1 tablespoon roasted sesame seeds
01:49,and salt to taste.
01:51,You also need:
01:53,1 teaspoon red chili powder
01:55,3 teaspoons of oil
01:58,I will now explain the procedure:
02:00,"For sprouting, soak moth beans overnight."
"",
02:05,Drain it in the morning and tie them in a clean muslin cloth.
02:10,Leave them in a warm place to germinate for 2 days.
02:15,Please note that different legumes take different time for germination.
02:20,Once the sprouts are ready add garlic to it and grind it into a coarse paste.
02:27,You can use a mixer or a stone grinder to make the paste.
02:32,Heat a pan and roast the sesame seeds till they turn light golden.
02:37,Let them cool.
02:39,"To make the cutlets, take the sprouts paste in a bowl."
02:43,"Add roasted sesame seeds, spinach, gram flour, spices, salt and lemon juice."
02:52,Mix them well.
02:54,"If the paste is dry, add 1 tablespoon water."
02:59,Divide the paste into 4 portions
"",
03:01,and shape them into cutlets.
03:04,Heat the oil in a pan.
03:06,Shallow fry the cutlets on medium heat till both sides turn golden brown.
03:12,Moth beans spinach cutlets are ready.
03:15,4 cutlets contains around 208 mg of magnesium.
03:22,Our next recipe is sunflower seeds chutney (dip).
03:26,"For this recipe, you need:"
03:28,2 tablespoon of sunflower seeds
03:32,"1 green chilli4 to 5 cloves of garlic"
03:36,1 small chopped tomato
03:39,Salt to taste
03:41,1⁄2 teaspoon oil or ghee
"",
03:44,"Procedure:Roast sunflower seeds till they turn light brown on medium heat."
03:50,Then allow them to cool.
