Time,Narration
00:00,Welcome to the spoken tutorial on making a protective face cover at home.
00:06,In this tutorial we will learn about:
00:10,The need for us to wear a protective face cover.
00:14,Important warnings for health workers and COVID-19 patients.
00:20,Safety precautions regarding the protective face covers.
00:25,Procedure to make a protective face cover with and without a sewing machine.
00:32,Precautions before wearing and while removing the protective face cover.
00:38,Correct way to sanitize and store the protective face cover.
00:44,We must first understand the need to wear a protective face cover.
00:50,"To protect ourselves from CoronaVirus, wearing a face cover is important."
00:56,"India being densely populated, wearing a face cover is especially recommended."
01:03,To prevent and control Coronavirus many types of face covers are being used.
01:10,Among them homemade protective face cover is easy to make and can be reused too.
01:18,"Before going ahead, please remember the important warnings."
01:23,Homemade face cover is not for health workers.
01:28,It is neither for people working with or in contact with COVID-19 patients.
01:37,COVID-19 patients should not use homemade face covers.
01:42,All such people must wear only the specified protective gear.
01:48,There are other safety precautions that you should always remember.
01:53,Homemade face covers do not give full protection.
01:58,They only reduce the chances of inhaling droplets in the air from an infected person.
02:06,Do not use the face cover without washing it.
02:10,Do not share your face cover with anyone.
02:14,Always maintain a minimum of 2 metres social distancing with everyone.
02:21,Frequently wash your hands with soap for 40 seconds.
02:26,We will now see a simple method to make a reusable face cover at home.
02:33,It can be made using a cotton cloth which is easily available at home.
02:38,While making it ensure that it covers the mouth and nose completely.
02:44,One should be able to tie it over the face easily.
02:49,Homemade face covers can be easily made with and without a sewing machine.
02:55,Let us first see how to make a protective face cover with a sewing machine.
03:02,You will need a 100% cotton cloth.
03:06,The colour of the cloth does not matter.
03:10,"Before making, wash the fabric well"
03:13,and boil it in salt water for 5 minutes.
03:17,Let the cloth dry properly and then use it.
03:21,Other items required are:
03:23,Four pieces of cloth strips
03:26,"Scissorsand A sewing Machine"
03:29,I will explain the procedure to make a protective face cover.
03:34,Start with cutting the cloth for the face cover.
03:39,For adult it should be 9 inches x 7 inches.
03:44,For a child it should be 7 inches x 5 inches
03:50,Now we will cut the strips.
03:53,"For adult size face cover, cut 4 strips for tying and piping."
03:59,Two pieces each of 1.5 inches x 5 inches.
04:05,Also two pieces of 1.5 inches x 40 inches.
04:11,Attach a 1.5 inches x 5 inches strip on one end to use as piping to the fabric.
04:19,Create 3 pleats facing downward of about 1.5 inches each by folding the cloth.
04:28,Turn the pleated cloth to the other side and repeat the steps for pleating.
04:34,"Now, the height of the cloth will be reduced from 9 inches to 5 inches."
04:42,Secure the pleats with piping on both sides.
04:46,Take extra care to keep all pleats facing downward.
