Time,Narration
00:00,Welcome to the Spoken Tutorial on Non-vegetarian recipes for adolescents
00:06,"In this tutorial we will learn about:What is adolescence?"
00:10,Nutritional requirements during adolescence
00:13,Preparation of non-vegetarian recipes such as:
00:16,Egg Spinach bhurji
00:18,Mutton leg soup
00:20,Mutton Liver and Lungs curry
00:22,Minced Chicken with Dill leaves and Fish curry
00:26,Let us first understand what is adolescence?
00:30,Adolescence is the transition from childhood to adulthood
00:33,10 to 19 year old individuals are considered as adolescents
00:38,During this period the requirements of energy and Proteins are high
00:44,"Why?Because, during this period there are: Physical, Sexual, Mental and Social developmentalchanges"
00:53,An adolescent female requires-: 2000-2400 calories and 40-55 grams of protein per day
01:02,Adequate amount of other micronutrients are also essential
01:06,"Such as: Iron, Calcium, Magnesium, Zinc, Folate and Vitamin B-12"
01:14,"Importance of nutrition during adolescence has been explained in - another tutorial of thesame series"
01:21,"After learning all that is important during Adolescence; We will start with the preparation ofrecipes"
01:28,First recipe is Egg Spinach Bhurji
01:32,"You will need: 1 Egg, 1⁄2 cup Spinach, 1 small sized Onion, 1 green Chilli"
01:38,1⁄2 teaspoon Ginger Garlic paste
01:40,1⁄2 teaspoon Turmeric
01:42,"Salt to taste2 teaspoon Oil or butter"
01:46,Procedure: Heat oil or butter in a pan
01:50,"Add ginger-garlic paste, green chilli and chopped onions"
01:55,Saute the onions for 2 minutes
01:57,Now add turmeric powder and the chopped spinach
02:01,Crack the egg into the pan
02:05,Mix all the ingredients well
02:07,"Now, let the egg cook for 2 minutes on medium flame"
02:11,Egg Spinach Burji is ready to be served
02:15,Next is Mutton leg soup:
02:17,You will need: 200 grams or 1 whole Mutton leg
02:21,1⁄2 medium sized Onion
02:23,1⁄2 teaspoon Ginger Garlic paste
02:25,1⁄2 teaspoon mixed whole spices
02:28,1 teaspoon Turmeric powder
02:30,"Salt to taste1 teaspoon Bengal Gram flour"
02:34,Wash and clean the mutton leg pieces thoroughly
02:38,Apply half teaspoon turmeric powder on the mutton leg pieces
02:42,Keep it aside for 15-20 minutes and wash it again
02:46,This will remove any smell from the leg pieces
02:50,In a pressure cooker put the mutton leg pieces and chopped onions
02:54,"Add whole spices, ginger garlic paste, turmeric powder, and salt"
03:00,Add 1 cup of water and cover the pressure cooker
03:03,Cook it on high flame until one whistle
03:06,Then lower the flame and cook for 15-20 minutes
03:11,Allow the pressure from the cooker to release by itself and only then open it
03:16,"Simultaneously, while leg pieces are being cooked in the cookermix bengal gram flour with two tablespoon water to make a thin paste"
03:25,Add the paste to the soup and stir it well
03:27,Bring the soup to boil and keep it on slow flame for 2 minutes
03:31,Mutton leg soup is ready
03:34,Next recipe is Mutton Liver and Lungs curry
03:37,You will require: 100 gm Mutton Liver and Lungs
03:41,"1 medium sized Onion1 medium sized Tomato"
03:45,"1 teaspoon Ginger Garlic paste1 tablespoon Curd"
03:49,1⁄4 teaspoon Turmeric powder
03:51,1 teaspoon Garam masala powder
03:54,"Salt to taste2 teaspoon Oil or Ghee"
03:58,Wash the mutton lungs and liver in water thoroughly
04:01,Heat oil in a pressure cooker
04:03,Add chopped onion and saute till it becomes light golden in colour
04:07,Then add chopped tomatoes and ginger-garlic paste and saute it
04:12,"Now, add the lungs and liver to it"
04:15,"Add the spices, curd and mix wellSaute it for 5 minutes"
04:21,Add 1 cup of water and cover the pressure cooker
04:24,Cook it on medium flame for 15 minutes
04:27,"Mutton liver and lung curry is ready and can be served withPearl millet roti or Sorghum roti"
04:34,"If Mutton Lungs and Liver is not available, you can also use:Chicken Liver and Chicken Heart"
04:42,The fourth recipe is Minced Chicken with dill leaves
04:46,"Take: 100 gm minced Chicken1 cup Dill leaves"
04:50,"1⁄2 medium sized Onion1⁄2 medium sized Tomato"
04:53,1 teaspoon Ginger Garlic paste
