Time,Narration
00:00,Welcome to the spoken tutorial on non-vegetarian recipes for 19 to 24 month old babies.
00:09,"In this tutorial, we will learn about:"
00:12,Energy requirements for 19 to 24 month old babies.
00:18,Preparation of some non-vegetarian recipes.
00:23,"Let us begin.During 19 to 24 months, the baby requires upto 550 calories of energy per day."
00:33,This energy should come from complementary food.
00:37,"In this period, one cup of food should be given each time three to five times a day."
00:46,Make sure to use local and seasonal food items.
00:53,"Various non-vegetarian foods like fish, eggs, chicken and meat can be given."
01:02,Along with complementary food breast milk is necessary too.
01:07,Breastfeeding is recommended upto 2 years of age.
01:12,Let’s begin with our first recipe which is fish cutlet.
01:18,To prepare this recipe you can use 150 grams of any locally available fish.
01:27,"For example: salmon, mackerel, pomfret, cod fish (rohu -Bracketed text is only forInternational languages), etc."
01:34,"I will use 150 grams of cod fish (rohu -Bracketed text is only for Internationallanguages)."
01:39,Other ingredients required to make this recipe are:
01:43,1⁄2 finely chopped onion.
01:47,"1 egg.2 tablespoons of chopped coriander leaves."
01:52,1 tablespoon of roasted bengal gram flour.
01:57,1 tablespoon lemon juice.
02:00,1 teaspoon ghee or oil.
02:03,1⁄4 teaspoon salt.
02:06,The spices required are:
02:09,1⁄4 teaspoon turmeric powder.
02:12,1⁄4 teaspoon red chilli powder.
02:15,1⁄2 teaspoon cumin seeds powder.
02:18,1⁄2 teaspoon coriander powder.
02:22,"Procedure:Take 150 grams of washed and cleaned pieces of fish."
02:29,"Apply salt, turmeric and lemon juice on it."
02:34,Keep it aside for 25 to 30 minutes.
02:39,Pressure cook the fish pieces with 1 glass of water.
02:43,Cook until 3 to 4 whistles.
02:48,Let the pressure release on its own and then open the lid.
02:52,Take out the fish pieces and separate the bones and skin from the fish.
02:58,Slightly mash the fish using a spoon or clean hands.
03:04,Take the mashed fish in a bowl.
03:06,Add chopped onions and chopped coriander leaves to it.
03:11,"Then add red chilli powder, cumin powder and coriander powder."
03:17,"To bind the mixture, you can even add 1 tablespoon of roasted bengal gram flour."
03:24,Mix everything well and make round balls of this mixture.
03:29,Flatten the balls to make the cutlets.
03:32,Keep it aside in a cool place or refrigerate it for an hour.
03:39,"Next, beat an egg thoroughly and add some salt."
03:44,Dip the cutlets in the beaten egg and coat on all sides.
03:49,Heat oil in a pan.
03:51,Fry the cutlets on both sides on medium flame.
03:56,Fish cutlets are ready.
03:58,The second recipe is egg amaranth leaves curry.
04:03,Ingredients required are:
04:05,2 hard boiled eggs.
04:08,30 grams or 3⁄4 cup of washed amaranth leaves.
04:14,1 tablespoon white sesame seeds.
04:18,1⁄2 sliced onion.
04:20,1⁄2 chopped tomato.
04:23,2 teaspoon ghee or oil.
04:26,1⁄4 teaspoon salt.
04:29,The spices required are:
04:32,1⁄2 teaspoon red chilli powder.
04:35,1⁄2 teaspoon coriander powder.
04:38,1⁄4 teaspoon turmeric powder.
04:41,Procedure:
04:43,Heat oil or ghee in a pan.
04:46,Add sliced onions and saute them until they turn light golden.
04:52,Then add the chopped tomatoes.
04:55,"Add salt, spices and sesame seeds in it."
05:00,Mix everything well and cook for 1 to 2 minutes.
05:07,Then add chopped amaranth leaves in it and saute it.
05:11,Add the pieces of hard boiled eggs in it.
05:15,"Next, add 1⁄2 cup of water"
05:18,and cover it.
05:20,Cook for 3 to 5 minutes on low flame.
05:24,Egg and amaranth leaves curry is ready.
05:28,You can also use any locally available seasonal leafy vegetable.
05:34,"For example: spinach,"
05:37,"fenugreek leaves,colocasia leaves, etc."
05:41,The next recipe is chicken balls curry.
05:45,Ingredients required to make this recipe are:
05:49,100 grams minced chicken.
05:52,1 cup or handful of washed coriander leaves.
