Time,Narration
00:00,Welcome to the spoken tutorial on the nutrient count of day to day food.
00:06,"In this tutorial, we will learn about:"
00:09,Importance of nutrition.
00:11,Nutrient count of some day to day food.
00:16,Nutrition is important for good health.
00:20,Essential nutrition is necessary from infancy for growth
00:25,and development.
00:27,It also helps to prevent malnutrition.
00:31,Poor nutrition can lead to impaired mental and physical development.
00:37,It can also lead to reduced immunity.
00:41,Reduced immunity increases the risk of developing minor and chronic diseases.
00:49,Nutrition related problems can be prevented by breastfeeding a baby.
00:56,Remember that a baby should be breastfed within the first hour of its birth.
01:03,Exclusive breastfeeding till 6 months with correct techniques is important.
01:10,"After 6 months along with breastmilk, nutrient dense food should be given."
01:17,This nutrient dense food is called complementary food.
01:23,Complementary food should be rich in all the nutrients.
01:28,Protein is one of the important nutrients.
01:33,It helps in growth and development.
01:37,"Hence, it is advised to include protein rich food sources in daily diet."
01:44,"Milk and milk products,"
01:47,"beans,nuts"
01:49,and seeds are good sources of protein.
01:53,"Eggs, fish, chicken and meat are also excellent sources."
02:00,Absorption of protein from non-vegetarian food is higher than vegetarian food.
02:06,It is because non-vegetarian foods have complete proteins.
02:12,Complete proteins contain all the essential amino acids.
02:17,More about the importance of protein has been explained in another tutorial.
02:24,Please visit our website for this tutorial.
02:28,Let’s take a look at the protein content of some of the food sources.
02:34,100 grams of fish has about 21 grams of protein.
02:40,250 millilitres of cows milk has approximately 8 grams of protein.
02:47,1 whole egg has around 7 grams.
02:52,30 grams of soybean has 11 grams.
02:56,Whereas 30 grams of all raw pulses have around 4 grams of protein.
03:04,Let us look at the nutrient count of some day to day food.
03:09,"Please note, 1 medium bowl mentioned in this tutorial is 150 millilitres."
03:17,1 tablespoon is 20 grams.
03:21,The nutritive values mentioned are approximate values.
03:27,I will briefly tell you the nutrient value of cooked rice.
03:33,1⁄2 medium bowl of cooked rice has 22 grams of carbohydrates.
03:40,It has only 2 grams of protein.
03:44,It has 1 gram of fibre.
03:48,2 milligrams of calcium and no iron.
03:54,Now Let’s see the nutritional value of a common meal.
03:59,"For example, 1⁄2 medium size bowl of cooked rice with chicken curry."
04:06,1⁄2 bowl chicken curry will have 100 grams of boneless chicken or 4 small pieces.
