Time,Narration
00:01,"Welcome to the Spoken tutorial on Nutritious powder recipes for 6 to 24 month oldchildren."
00:08,In this tutorial we will learn various recipes of nutritious powders such as-
00:14,amylase powder
00:17,powder of seeds
00:19,powder of nuts and seeds
00:22,powder of beans
00:24,powder of curry leaves
00:26,and powder of drumstick leaves
00:29,There are various nutritious powders which can be made at home without much effort.
00:36,These powders have nutrients which support the growth and development of infants.
00:42,It is recommended that:
00:44,These powders should be given to the baby when she completes 6 months of age.
00:51,Whenever any powder is introduced to a baby-
00:54,It should be added in baby’s food for 3 or 4 consecutive days.
00:59,"After 3 or 4 days, introduce a new powder to the baby."
01:05,These two powders can be mixed but both powders should have been tried individually
01:10,"and the baby should not have had any allergies like rashes or swelling on the face and thebody."
01:19,"Whenever any powder containing allergens such as nuts is introduced to the child, then-"
01:26,start with the small portion such as the tip of a teaspoon
01:31,wait for 10 minutes and then gradually feed it to the child.
01:36,"Please, do not add salt in baby’s food till she turns one."
01:41,"Also, do not include sugar and jaggery until the baby is 2 years of age."
01:47,Now let’s learn how to make these nutritious powders at home.
01:52,But before that keep in mind-
01:54,The recipes in this tutorial have been made using the following methods-
02:00,"SoakingRoasting"
02:03,germination
02:05,and cooking
02:07,Cooking may include any one or combination of following methods:
02:12,dry roasting
02:14,"steamingand boiling"
02:17,"All these methods will reduce Phytates and Oxalates in the food which prevents absorptionof minerals from the food"
02:26,and will improve nutrient absorption from the food.
02:30,"Now, let’s begin with our first recipe:"
02:33,"Amylase powderBut first, let us discuss the benefits of it-"
02:39,Amylase is an enzyme or chemical required for the digestion of food.
02:45,It is produced in a limited amount in the baby’s body.
02:50,This powder provides additional amylase and
02:53,increases nutrient content and absorption from the food in which it is added.
02:59,"Thus, amylase rich flour or amylase powder should be given to the baby."
03:05,Let's learn the recipe for Amylase powder.
03:08,Ingredients required for making Amylase powder are-
03:13,1⁄2 cup of Wheat
03:15,1⁄2 cup of Green Gram and
03:17,1⁄2 cup of Ragi
03:19,"Procedure:First, soak all the items separately in water for around 10 hours."
03:25,Soaking will improve the moisture content of ingredients.
03:29,After 10 hours remove all the items.
03:33,Keep them in a strainer and let all the water drain out.
03:38,"Then, one by one tie all the ingredients in a clean and dry cotton cloth."
