Time,Narration
00:00,Welcome to the spoken tutorial on potassium rich vegetarian recipes.
00:06,In this tutorial we will learn about:
00:09,Benefits of potassium.
00:12,Some vegetarian recipes rich in potassium.
00:16,Potassium is an essential mineral.
00:20,It is required for normal functioning of cells.
00:24,It regulates heartbeat and
00:27,maintains normal blood pressure.
00:30,Potassium ensures proper functioning of muscles and nerves.
00:36,The importance of potassium has been explained in an another tutorial.
00:42,Please visit our website for this tutorial.
00:46,Let us now see the preparation of the recipes.
00:50,The first is raw banana pepper fry.
00:55,"To prepare this, you will need:"
00:58,100 grams raw banana.
01:01,1⁄2 medium chopped tomato.
01:05,1⁄2 medium chopped onion.
01:09,1 teaspoon garlic paste.
01:12,1 whole red chilli.
01:15,Handful of washed coriander leaves.
01:19,You will also need:
01:21,1 teaspoon mustard seeds.
01:24,1 teaspoon coriander powder.
01:27,1 teaspoon pepper powder.
01:30,1⁄2 teaspoon turmeric powder.
01:33,Salt to taste.
01:36,1 teaspoon oil or ghee.
01:39,"Procedure:Wash and peel the raw banana"
01:43,and cut them into pieces.
01:46,Place the pieces on a plate.
01:49,Add 1 glass water in a steamer.
01:52,Place the plate in the steamer and steam for 12 to 15 minutes.
01:59,If you do not have a steamer you can use a pressure cooker.
02:04,Add 1 glass water in a pressure cooker.
02:07,Place a small stand inside the cooker to keep a plate on it.
02:13,"Now, place the raw banana pieces on the plate in the pressure cooker."
02:19,Cook them for 15 to 20 mins without a whistle on the lid.
02:25,Open the cooker and let it cool.
02:29,Keep them aside for later use.
02:32,Heat oil or ghee in a pan
02:35,and add mustard seeds.
02:38,Once the seeds crackle add the onions and garlic paste.
02:43,Saute until the onion turns golden brown in color.
02:48,Add tomato and whole red chilli.
02:52,Cook till the tomato turns soft.
02:55,To this add all the spices and salt
02:59,and saute it for 2 minutes.
03:02,Pour 3 tablespoons of water
03:05,and cook for 1 minute.
03:07,Add the steamed raw banana to this
03:11,and stir well.
03:13,Cover with a lid and cook for 5 minutes.
03:17,"Lastly, add chopped coriander leaves."
03:22,Raw banana pepper fry is ready.
03:25,1⁄2 bowl of raw banana pepper fry has around 844 milligrams of potassium.
03:34,The next recipe that we will see is dried lentil dumplings (wadi in Marathi) curry.
03:40,"To prepare this, you will need:"
03:43,30 grams black gram.
03:46,1 medium chopped tomato.
03:49,1 medium chopped onion.
03:52,You will also need:
03:54,1 green chilli.
03:57,4 to 5 washed curry leaves.
04:00,1 small piece of ginger.
