Time,Narration
00:00,Welcome to the spoken tutorial on protein rich vegetarian recipes.
00:05,"In this tutorial, we will learn about:"
00:07,Benefits of protein.
00:09,Some vegetarian recipes rich in protein.
00:13,"Protein helps in growth, repair and maintenance of muscle tissues."
00:19,It is also responsible for controlling blood sugar levels.
00:24,The importance of protein has been explained in detail in another tutorial.
00:30,Please visit our website for this tutorial.
00:33,Let us look at the vegetarian sources of protein
00:37,"Milk and milk products,"
00:39,"pulses,"
00:41,nuts and seeds are good sources of protein.
"",
00:44,"Now, let us see some protein rich vegetarian recipes."
00:49,Our first recipe is paneer masala (cottage cheese curry)
00:52,"To make this recipe, you will need:"
00:55,"70 grams or 1⁄2 cup paneer,"
00:58,"70 grams or 1⁄2 cup of curd,"
01:02,"1 tablespoon roasted gram flour,"
01:06,"You will also need:1 teaspoon red chilli powder"
01:11,1⁄2 teaspoon turmeric powder
01:15,1⁄2 teaspoon curry leaves powder
01:19,1⁄2 teaspoon garam masala powder
01:22,1 teaspoon oil or ghee
01:25,salt to taste.
01:28,"Procedure:Whisk the curd in a bowl until smooth."
01:32,"Add the spices, salt, curry leaves powder and gram flour."
01:38,Mix everything again.
01:40,"To this, add paneer pieces and mix well."
01:45,Cover the bowl with a lid and leave it for 30 minutes.
01:51,Heat 1 teaspoon oil or ghee in a pan.
01:54,Add the paneer along with curd mixture.
01:58,To this add 1⁄2 glass of water.
02:01,Cook this for 2 to 5 minutes till the mixture thickens.
02:07,Paneer masala is ready.
02:09,1⁄2 bowl of paneer masala has 22 grams of protein.
"",
02:14,Next recipe is Green gram curry.
02:18,"To make this recipe, you will need:"
02:21,100 grams or 3/4th cup of curd
02:25,30 grams or 1/4th cup sprouted green gram
02:30,1⁄4 cup washed and chopped coriander leaves
02:35,4 teaspoons gram flour
02:38,1⁄2 teaspoon turmeric powder
02:41,1 teaspoon red chilli powder.
02:44,"You will also need:1⁄2 teaspoon mustard seeds,"
02:49,"1⁄2 teaspoon cumin seeds,"
02:52,"1 green chilli,"
02:54,"1 teaspoon oil,"
"",
02:56,"4 to 5 curry leaves,"
02:59,and Salt to taste.
03:02,I will now explain the procedure.
03:04,We will first start with sprouting.
03:07,Soak green gram in water overnight.
03:11,Drain it in the morning and
03:13,tie them in a clean muslin cloth.
03:16,Leave them in a warm place to germinate for 1 day until sprouts appear.
03:23,Grind the sprouts and green chilli into a coarse paste using a mixer.
03:28,If mixer is not available you can use a stone grinder.
03:33,Collect this paste in a bowl.
03:36,"Add coriander leaves, 2 teaspoons of gram flour and salt and mix well."
"",
03:43,Make small balls of the paste
03:45,and place on a steaming plate.
03:48,Steam these in a steamer for 6 to 8 minutes.
03:53,Allow the steamed balls to cool.
03:56,"To make the curd curry, whisk the curd in a bowl."
