Time,Narration
00:00,Welcome to the Spoken Tutorial on Vegetarian recipes for adolescents.
00:05,"In this tutorial, we will learn: What is adolescence?"
00:09,Importance of nutrition during adolescence and
00:12,"How to prepare vegetarian recipes for adolescents such as:Soybean cutlet,"
00:17,"Sorghum and Tomato cheela,"
00:20,"Peanut curry,Pearl millet and Sorghum vegetable khichdi and"
00:24,Stuffed paratha with Sesame seed chutney.
00:28,"First, let us understand what is the period of adolescence?"
00:32,Adolescence is the period of transition from childhood to adulthood.
00:37,10 to 19 year old individuals are considered as adolescents.
00:42,"During this period there are physical, sexual, mental and social developmental changes."
00:49,"Now, let us look at the reasons for increased nutritional requirements during adolescence."
00:54,"First, there is a rapid increase in physical growth such as height and weight."
00:59,"Second, for providing nutritional support to the body during illness and pregnancy."
01:05,"During this period, adolescents may also go through emotional changes such as stress,anxiety and mood changes."
01:15,"Also, during adolescence there are social developmental changes."
01:19,"For example, there are changes in their lifestyle and food habits."
01:24,Their food choices may be affected by what their friends like or dislike.
01:29,"Therefore, good nutrition is important to support these developmental changes."
01:34,An adolescent female requires 2000-2400 calories and 40-55 grams of protein per day.
01:43,Let us look at some healthy vegetarian recipes for adolescents.
01:47,"Before we begin, note that in all the recipes being explained in this tutorial, 1 cup is equal to250 millilitres."
01:56,Our first recipe is Soybean cutlet:
01:58,"For preparing this, you will need:1⁄4 cup Soybeans,1⁄4 cup split Bengal gram,"
02:04,"1⁄2 Beetroot,1⁄4 cup boiled Peas,"
02:07,"2 tablespoon Peanut powder,"
"","1 teaspoon Gram flour,"
02:11,"1 teaspoon Coriander powder,1⁄2 teaspoon Red Chilli powder,"
02:16,"1⁄2 teaspoon dry Mango powder,Salt to taste,"
02:20,"1 teaspoon Drumstick leaves powder,2 teaspoon Sesame seeds,1 teaspoon Oil."
02:26,"To begin, we will first sprout the soybeans.Soak the soybeans in water overnight."
02:31,Drain the water and keep them on a strainer to remove excess water.
02:35,Keep the soybeans in a cool and dry place away from direct heat.
02:40,"Everyday wash and drain the soybeans 2-3 times until sprouts appear.This will avoid spoilage of soybeans."
02:48,It may take around 3-4 days for soybeans to sprout.
02:52,"Now, soak the split bengal gram overnight."
02:56,Strain it the next day in a strainer.
