Time,Narration
00:00,Welcome to Spoken tutorial on Vegetarian recipes for Lactating mothers.
00:06,"In this tutorial, we will learn about: Importance of nutrition during lactation,"
00:12,"Preparation of vegetarian recipes such as - Mixed sprouts chilla,"
00:18,"Garlic, Flaxseed and Sesame chutney,"
00:21,"Peanut, Spinach and Fenugreek cutlet,"
00:24,"Pearl millet and Amaranth leaves muthia,"
00:27,Sprouted Fenugreek seeds curry.
00:30,"During lactation, a mother requires additional amount of nutrition - for milk production,"
00:38,to provide enough nutrients for the growing infant and to maintain mother’s own health.
00:44,"Essential nutrients required during lactation are -Protein,"
00:50,"Vitamins, Minerals,"
00:53,Omega 3 fatty acids and Choline.
00:57,"Additionally, sufficient Iodine and Vitamin D intake is also essential."
01:03,"Because, Iodine helps in the making of thyroid hormones andgrowth and neurological development of infant."
01:13,Hence it is recommended to include iodized salt daily to prevent iodine deficiency.
01:20,"Similarly, Vitamin D is essential for healthy bones and Calcium absorption."
01:28,"The best way to obtain vitamin D is exposure to sunlight between 11.00am to 3.00pm for15 to 20 minutes."
01:39,"After essential nutrients, we will now discuss about mother’s diet."
01:44,It is highly recommended to include different vegetables daily.
01:49,Vegetables contain essential nutrients that help in building immunity.
01:55,They are also good sources of antioxidants and they reduce the risk of diseases.
02:02,"Although all types of vegetables should be eaten, over here we will discuss a few only suchas -"
02:10,"Capsicum,Spinach,"
02:13,"Cabbage,Cauliflower,"
02:15,"Amaranth,Pumpkin,"
02:17,"Carrot,"
"",Fenugreek leaves and Brinjal.
02:22,"Besides vegetables, we will learn about Galactogogues."
02:27,Galactogogues are substances that help in milk production.
02:31,"Mother can get it from diet by including-Garlic,Fenugreek seeds and leaves,"
02:37,"Fennel seeds,Garden cress seeds,"
02:40,"Drumstick leaves,Dill leaves and Carom seeds."
02:45,"Other than vegetables and Galactogogues, mother should drink 2-3 litres of water daily."
02:52,She should have a glass of boiled and cooled water before every feed.
02:58,"After learning all that is important for lactating mother, we will start with the preparation ofrecipes.The first recipe is - Mixed sprouts chilla."
03:10,"To make this chilla, we will need -1 cup mixed sprouts of bengal gram, green gram and moth beans,"
03:18,"3 green Chillies,3 cloves of Garlic,"
