Time,Narration
00:01,Welcome to the spoken tutorial on vegetarian recipes for 19 to 24 month old babies.
00:09,"In this tutorial, we will learn about:"
00:12,Calorie requirements.
00:14,Preparation of some nutritious vegetarian recipes.
00:20,"At this age, babies are ready to eat the same meal as the rest of the family."
00:27,"Along with complementary food, babies should be breastfed until 2 years of age."
00:35,"During this period, 550 calories of energy is required everyday."
00:43,Babies at this age should be given one cup of food.
00:48,A cup is about 250 millilitres or
00:53,16 tablespoons of food.
00:57,It should be given five times a day.
01:01,Let’s begin with our recipes now.
01:04,The first recipe is stuffed khandvi.
01:08,"To make this recipe, you will need:"
01:12,1 tablespoon roasted bengal gram flour.
01:16,50 grams curd.
01:19,"1 tablespoon crumbled paneer (unsalted Indian cheese – Bracketed text is only forInternational languages)."
01:22,1 tablespoon steamed cauliflower.
01:25,2 teaspoons peanut powder.
01:28,You will also require:
01:30,1⁄4 teaspoon turmeric powder.
01:33,1⁄4 teaspoon cumin seeds powder.
01:37,1⁄4 teaspoon chilli powder.
01:40,1⁄4 teaspoon ginger garlic paste.
01:43,1 teaspoon of ghee.
01:46,2 pinches of salt.
01:48,I will first tell you how to make the stuffing for khandvi.
01:54,"Mix crumbled paneer (unsalted Indian cheese – Bracketed text is only for Internationallanguages), steamed cauliflower and peanut powder together."
02:01,Heat 1⁄2 teaspoon ghee in a pan.
02:05,Saute the mixture on a pan for 5 to 7 minutes.
02:10,"Add cumin seeds powder, chilli powder and a pinch of salt in it."
02:16,Mix it well and allow it to cook for 4 to 6 minutes on low flame.
02:24,Our stuffing is ready.
02:27,"To make the rolls, take curd in a bowl."
02:31,"Add turmeric powder, ginger garlic paste and a little amount of water in it."
02:39,Add a pinch of salt and mix it well.
02:42,Add roasted bengal gram flour in it
02:45,and mix again.
02:47,Make sure there are no lumps.
02:50,Now pour this batter in a vessel and cook it for 5 to 7 minutes.
02:59,Stir it continuously till it becomes a thick paste.
03:05,There should not be any lumps in the batter.
03:08,"Next, apply 1⁄2 teaspoon ghee on the backside of a large plate."
03:15,Pour a thin and even layer of the batter across the plate.
03:21,We will call this khandvi.
03:24,Allow the khandvi to cool for some time.
