Time,Narration
00:00,Welcome to the Spoken tutorial on Vegetarian recipes for 6 month old babies.
00:07,"In this tutorial, we will learn-"
00:10,Introduction to complementary feeding
00:13,and How to prepare vegetarian recipes such as-
00:17,Black-eyed beans puree
00:19,Pumpkin puree
00:21,"Ragi porridgeSorghum porridge"
00:24,and Spinach leaves puree
00:27,"Before we begin, it is important to remember that"
00:31,exclusive breastfeeding is recommended for the first six months.
00:36,"After completion of 6 months, breast milk is not enough for the baby."
00:42,"Therefore, along with breastfeeding the baby should be fed home cooked food too."
00:48,It is known as complementary feeding.
00:51,"While introducing a Complementary food to the baby, start one food at a time."
00:58,It will help to find if the baby is allergic to any food.
01:02,"Once the baby gets comfortable, start giving the combination of ingredients."
01:09,"Initially, start with one tablespoon twice a day"
01:13,"then, gradually, go up to 4 tablespoons twice a day."
01:18,"Apart from these, while preparing the baby’s food always use local, regional and seasonalingredients."
01:29,"Please, do not add salt and honey in baby’s food till she turns one."
01:36,"Also, do not add sugar and jaggery until the baby is 2 years of age."
01:43,"After completion of 6 months,"
01:45,the baby requires up to 200 calories of energy from complementary foods.
01:51,Only well cooked and pureed form of the food should be given.
01:56,"Let’s begin with our recipes but, before that keep in mind-"
02:01,One can use breastmilk
02:04,coconut milk or
02:06,boiled and cooled water to make the following recipes.
02:10,The first recipe is Black-eyed beans puree.
02:14,"To make it, we will need Black-eyed beans or Cowpeas"
02:21,"Firstly, soak the Black-eyed beans for around 9-12 hours"
02:25,Remove it in a strainer and rinse it thoroughly using water.
02:30,Let all the water drain out.
02:33,Then tie it in a clean cotton cloth.
02:36,Keep it aside till it sprouts
02:39,This process is called germination.
02:43,Take out these beans in a steel container
02:47,and soak it for an hour or two.
02:50,"Then, gently remove the outer cover by rubbing between fingers."
02:55,Separate the outer covers and take out these beans in a steel pot.
03:00,Add water until the beans get covered.
03:04,Keep this steal pot in a pressure cooker.
03:07,Cook it until 4-5 whistles.
03:11,Remove it from the flame and allow it to cool for some time.
03:15,"Now, gently separate cooked outer covers if there are any"
03:21,and make a puree of boiled beans using a mixer or a stone grinder.
03:27,Add a little amount of boiled water
03:31,or the remaining pressure cooked water
03:34,and the Black-eyed beans puree is ready.
03:37,This Black-eyed beans puree is rich in Protein
03:41,Phosphorus
03:43,"IronZinc"
03:45,and Magnesium
03:47,"To make such purees, you can also use any locally available alternatives such as-"
03:54,"Moth beansBengal gram"
03:57,"Yellow peasRed lentils"
03:59,Green peas
04:01,"Kidney beansChickpeas"
04:03,"Horse gram, etc."
04:05,The second recipe is Pumpkin puree.
