States/UT'S,Composite Index,
"",Value (Sum of,
"",Index value /n),Overall
"",,Rank
All India,0.470854323,
Bigger States/Union Territories,,
1 Andhra Pradesh,0.667551087,2
2 Assam,0.413124079,13
3 Bihar,0.240199785,21
4 Chhattisgarh,0.423292387,11
5 Delhi,0.268802705,20
6 Gujarat,0.502471453,9
7 Haryana,0.341246231,17
8 Jammu And Kashmir,0.482176691,10
9 Jharkhand,0.330609755,19
10 Karnataka,0.638443816,3
11 Kerala,0.56507337,5
12 Madhya Pradesh,0.36158387,16
13 Maharashtra,0.532709607,8
14 Odisha,0.53675957,7
15 Punjab,0.414007095,12
16 Rajasthan,0.373873475,15
17 Tamil Nadu,0.749169438,1
18 Telangana,0.606174066,4
19 Uttarakhand,0.37544813,14
20 Uttar Pradesh,0.338862298,18
21 West Bengal,0.538872565,6
Smaller States,,
1 Arunachal Pradesh,0.390809709,7
2 Goa,0.490126193,6
3 Himachal Pradesh,0.52849782,3
4 Manipur,0.29904817,8
5 Meghalaya,0.498204413,5
6 Mizoram,0.651829876,1
7 Nagaland,0.259080938,9
8 Sikkim,0.518556885,4
9 Tripura,0.604412339,2
Union Territories,,
1 Andaman & Nicobar Islands,0.472199401,4
2 Chandigarh,0.589314892,2
3 Ladakh,0.455725551,5
4,Lakshadweep,0.658754336,1
5,Puducherry,0.474710382,3
"",The Dadra And Nagar Haveli And,,
6,Daman And Diu,0.35903324,6
"",,Total Number of,,
"",,% 1st number of Pregnant,,
"",,,Trimester,
"",States/UT'S,pregnant Rank women registered women,Indexregistration to value Total ANC,
"",,Registered within first,,
"",,Registrations for ANC trimester,,
Sl.,All India,6590822 4935063,74.9,
No.,,,,
Bigger States/Union Territories,,,,
1,Andhra Pradesh,219408 185743,84.7 0.88308,8
2,Assam,182619 163192,89.4 0.98511,3
3,Bihar,704132 474091,67.3 0.50740,18
4,Chhattisgarh,150425 134294,89.3 0.98326,4
5,Delhi,145838 64064,43.9 0.00000,21
6,Gujarat,315202 269841,85.6 0.90374,6
7,Haryana,140714 106521,75.7 0.68890,13
"",Jammu And,,,
8,Kashmir,83128 51610,62.1 0.39368,20
9,Jharkhand,197977 140838,71.1 0.58999,16
10,Karnataka,286248 230099,80.4 0.79046,12
11,Kerala,117875 99244,84.2 0.87306,9
12,Madhya Pradesh,419409 302976,72.2 0.61384,15
13,Maharashtra,551604 468853,85.0 0.89049,7
14,Odisha,187188 167295,89.4 0.98534,2
15,Punjab,116148 94629,81.5 0.81406,10
16,Rajasthan,394786 286571,72.6 0.62143,14
17,Tamil Nadu,279921 252065,90.0 1.00000,1
18,Telangana,197114 137959,70.0 0.56507,17
19,Uttarakhand,49657 39937,80.4 0.79135,11
20,Uttar Pradesh,1291610 807466,62.5 0.40303,19
21,West Bengal,431136 376158,87.2 0.93928,5
Smaller States,,,,
1,Arunachal Pradesh,8127 3124,38.4 0.14597,8
2,Goa,5065 3226,63.7 0.59471,4
3,Himachal Pradesh,27961 24186,86.5 1.00000,1
4,Manipur,10693 5777,54.0 0.42294,6
5,Meghalaya,24247 10691,44.1 0.24642,7
6,Mizoram,5767 4688,81.3 0.90744,2
7,Nagaland,7411 2240,30.2 0.00000,9
8,Sikkim,3571 2158,60.4 0.53677,5
9,Tripura,16648 12584,75.6 0.80612,3
