Weeks,-3 SD,-2 SD,-1 SD,Median,1 SD,2 SD,3 SD
0,30.7,31.9,33.2,34.5,35.7,37.0,38.3
1,31.5,32.7,33.9,35.2,36.4,37.6,38.8
2,32.4,33.5,34.7,35.9,37.0,38.2,39.4
3,33.0,34.2,35.4,36.5,37.7,38.9,40.0
4,33.6,34.8,35.9,37.1,38.3,39.4,40.6
5,34.1,35.3,36.4,37.6,38.8,39.9,41.1
6,34.6,35.7,36.9,38.1,39.2,40.4,41.6
7,35.0,36.1,37.3,38.5,39.7,40.8,42.0
8,35.4,36.5,37.7,38.9,40.0,41.2,42.4
9,35.7,36.9,38.1,39.2,40.4,41.6,42.8
10,36.1,37.2,38.4,39.6,40.8,41.9,43.1
11,36.4,37.5,38.7,39.9,41.1,42.3,43.4
12,36.7,37.9,39.0,40.2,41.4,42.6,43.7
13,37.0,38.1,39.3,40.5,41.7,42.9,44.0
