Weeks,-3 SD,-2 SD,-1 SD,Median,1 SD,2 SD,3 SD
0,30.3,31.5,32.7,33.9,35.1,36.2,37.4
1,31.1,32.2,33.4,34.6,35.7,36.9,38.1
2,31.8,32.9,34.1,35.2,36.4,37.5,38.7
3,32.4,33.5,34.7,35.8,37.0,38.2,39.3
4,32.9,34.0,35.2,36.4,37.5,38.7,39.9
5,33.3,34.5,35.7,36.8,38.0,39.2,40.4
6,33.7,34.9,36.1,37.3,38.5,39.6,40.8
7,34.1,35.3,36.5,37.7,38.9,40.1,41.3
8,34.4,35.6,36.8,38.0,39.2,40.4,41.6
9,34.7,35.9,37.1,38.4,39.6,40.8,42.0
10,35.0,36.2,37.4,38.7,39.9,41.1,42.3
11,35.3,36.5,37.7,39.0,40.2,41.4,42.7
12,35.5,36.8,38.0,39.3,40.5,41.7,43.0
13,35.8,37.0,38.3,39.5,40.8,42.0,43.2
