Weeks,-3 SD,-2 SD,-1 SD,Median,1 SD,2 SD,3 SD
0,44.2,46.1,48.0,49.9,51.8,53.7,55.6
1,45.4,47.3,49.2,51.1,53.0,54.9,56.8
2,46.6,48.5,50.4,52.3,54.3,56.2,58.1
3,47.6,49.5,51.5,53.4,55.3,57.2,59.2
4,48.6,50.5,52.4,54.4,56.3,58.3,60.2
5,49.5,51.4,53.4,55.3,57.3,59.2,61.2
6,50.3,52.3,54.3,56.2,58.2,60.2,62.1
7,51.1,53.1,55.1,57.1,59.1,61.0,63.0
8,51.9,53.9,55.9,57.9,59.9,61.9,63.9
9,52.6,54.6,56.6,58.7,60.7,62.7,64.7
10,53.3,55.4,57.4,59.4,61.4,63.4,65.4
11,54.0,56.0,58.1,60.1,62.1,64.1,66.2
12,54.7,56.7,58.7,60.8,62.8,64.8,66.9
13,55.3,57.3,59.4,61.4,63.4,65.5,67.5
